Title,Author,First Publish Year,URL
Dodger,Terry Pratchett,2012,https://openlibrary.org/works/OL16699828W
The Girl from Montana,Grace Livingston Hill,1908,https://openlibrary.org/works/OL14848636W
"Primary love, and psycho-analytic technique",Michael Balint,1953,https://openlibrary.org/works/OL20938797W
Because I love you so much,Guido van Genechten,2003,https://openlibrary.org/works/OL4903681W
Unravel me,Tahereh Mafi,2013,https://openlibrary.org/works/OL19963111W
This I believe,"Dan Gediman, John Gregory, Mary Jo Gediman",2010,https://openlibrary.org/works/OL19906986W
Flashback,Shannon Messenger,2012,https://openlibrary.org/works/OL17938213W
Side Effects,Woody Allen,1975,https://openlibrary.org/works/OL3495954W
A kind of loving,Stan Barstow,1960,https://openlibrary.org/works/OL3781682W
Yearning,"Bell Hooks, Christopher Raschka",1990,https://openlibrary.org/works/OL31122W
Sixteen revelations of divine love,"Julian of Norwich, George Tyrrell, Serenus Cressy (Dom)",1843,https://openlibrary.org/works/OL742100W
Ain't I a Woman,bell hooks,1981,https://openlibrary.org/works/OL31123W
Winter,Marissa Meyer,2015,https://openlibrary.org/works/OL20288803W
P.S. I Still Love You,Jenny Han,2000,https://openlibrary.org/works/OL17356811W
Icebreaker,Hannah Grace,2020,https://openlibrary.org/works/OL28952677W
Dangerous Angels,Francesca Lia Block,1998,https://openlibrary.org/works/OL82411W
A world of love,Elizabeth Bowen,1955,https://openlibrary.org/works/OL724062W
Some motives and incentives to the love of God,Robert Boyle,1659,https://openlibrary.org/works/OL28210W
Kong René's datter,Henrik Hertz,1845,https://openlibrary.org/works/OL5210786W
Butterflies are Free,Leonard Gershe,1969,https://openlibrary.org/works/OL5020889W
Friends in council,Sir Arthur Helps,1800,https://openlibrary.org/works/OL1088092W
A Summer in Sonoma,Robyn Carr,2010,https://openlibrary.org/works/OL15193249W
The Rogue,Janet Dailey,1980,https://openlibrary.org/works/OL14862496W
Mozi,Mozi,1875,https://openlibrary.org/works/OL125651W
The Scorpio Races,Maggie Stiefvater,2011,https://openlibrary.org/works/OL16221923W
Flambards in Summer,K. M. Peyton,1969,https://openlibrary.org/works/OL1850130W
"Beautiful Darkness (Beautiful Creatures Series, Book 2)","Kami Garcia, Margaret Stohl",2010,https://openlibrary.org/works/OL15399863W
"Studies in the Psychology of Sex, Vol. III",Havelock Ellis,1913,https://openlibrary.org/works/OL17020593W
Feminist theory,"Bell Hooks, Noomi B. Grüsig, Nassira Hedjerassi",1984,https://openlibrary.org/works/OL31115W
The affectionate brothers,Barbara Wreaks Hoole Hofland,1816,https://openlibrary.org/works/OL607435W
The Path to Love,Deepak Chopra,1996,https://openlibrary.org/works/OL548763W
"Many Lives, Many Masters",Brian L. Weiss,1988,https://openlibrary.org/works/OL70780W
The Alien,Katherine Applegate,1997,https://openlibrary.org/works/OL27772W
Mirror Mirror,Gregory Maguire,2003,https://openlibrary.org/works/OL66231W
The Emperor and the Kite,Jane Yolen,1967,https://openlibrary.org/works/OL97381W
Never Swipe a Bully's Bear,Katherine Applegate,2008,https://openlibrary.org/works/OL27813W
Don't Swap Your Sweater for a Dog,Katherine Applegate,2008,https://openlibrary.org/works/OL27814W
Roscoe Riley Rules - Never Glue Your Friends to Chairs,Katherine Applegate,2008,https://openlibrary.org/works/OL27812W
Love and Responsibility,Pope John Paul II,1960,https://openlibrary.org/works/OL58918W
